Screen Name,Follower Count,Total Tweets,Type
ForbesEDU,3590,3412,Celebrity
Official_WUpan,31,31,Layman
POTUS,26492018,6741,Celebrity
POTUS44,14975455,352,Celebrity
benlandis,3336711,396,Celebrity
pcolatat,19,1,Layman
spoon_washu,320,298,Expert
BoeingDefense,226348,12096,Celebrity
WestminsterP,196,703,Expert
staceynewman,6690,24382,Celebrity
herbiehancock,161467,1430,Celebrity
PeriscopeCo,1373769,1032,Celebrity
andreacoates,118,171,Expert
WUStl_Pride,86,341,Layman
DrLoriatSMU,522,348,Expert
hello_tesla,25,21,Layman
CoachJRyan,2514,2077,Celebrity
WilliamCarey73,652,4027,Expert
readingrainbow,64776,19253,Celebrity
KenBurns,123507,3695,Celebrity
MamaPotRoast,82,135,Layman
OUPPhilosophy,68304,6953,Celebrity
BlakeMarggraff,408,346,Expert
stephengarten,477,482,Expert
FarrahFazal,8969,180097,Celebrity
SAUCEmag,50454,17435,Celebrity
TechArtista,2022,920,Celebrity
SLCL,11616,19621,Celebrity
blackanthology,163,205,Expert
MarsOneProject,94020,2360,Celebrity
wustlisp,1370,3185,Celebrity
RepAnnWagner,22592,3620,Celebrity
Strive4C,1593,2566,Celebrity
mikebpeters,6350,1049,Celebrity
UKinChicago,6636,5439,Celebrity
jkarpjkarp,384,3105,Expert
OBS_STL,11852,4982,Celebrity
EWBUSA,6340,2531,Celebrity
foxinthefield,74,40,Layman
StartupWkndSTL,2102,690,Celebrity
historical_pict,5853,40952,Celebrity
Dabble_STL,693,1600,Expert
VeritasForumUSC,42,28,Layman
gogrowthgroups,3577,2849,Celebrity
PsyPost,243982,40366,Celebrity
PIPELINEorg,3582,6036,Celebrity
dedriccarter,345,260,Expert
KIPP,53768,10137,Celebrity
maecquinn,907,7834,Expert
BeckerLibrary,513,741,Expert
fema,752152,16631,Celebrity
USGBC,129929,34322,Celebrity
WUSTL_EM,2257,2165,Celebrity
followkurt,5723,3940,Celebrity
SLUent,4901,3917,Celebrity
WUSTLelp,130,287,Expert
NelsonMandela,1594869,14983,Celebrity
WashUGenetics,856,2461,Expert
GoldfarbNursing,820,616,Expert
WUL4racialjusti,65,104,Layman
EducPlus,4401,10248,Celebrity
RelayForLifeWU,583,583,Expert
PHAnews,37432,15820,Celebrity
TCRWUSTL,278,237,Expert
WUSTLendo,341,552,Expert
JoshuaLFerguson,1647,8406,Celebrity
washudems,306,66,Expert
DowntownTREX,9717,7327,Celebrity
KatharinePei,112,66,Expert
scifri,763767,49655,Celebrity
ScholarBridge,242,526,Expert
verified,2738875,6,Celebrity
UQNorthAmerica,2216,10474,Celebrity
RoyBlunt,106147,11798,Celebrity
2000F,4239,42,Celebrity
LamarPierce1,879,668,Expert
pulitzercenter,40994,34651,Celebrity
ABSWashU,508,956,Expert
LafSqSTL,5690,2047,Celebrity
STLSoulard,9047,2568,Celebrity
healthequitywks,2233,2783,Celebrity
cherokeestreet,3071,2084,Celebrity
websteru,14066,14929,Celebrity
JackDevine_TAG,953,832,Expert
rawreader,667,782,Expert
MentalHealthSTL,2912,6716,Celebrity
MichelleAPurdy,935,2372,Expert
VirginiaYoung,6643,9091,Celebrity
WustlUPE,57,24,Layman
YourAnswerPlace,3106,6753,Celebrity
STLPartnership,11624,11674,Celebrity
WashU_SAAC,164,55,Expert
COCAstl,6833,4310,Celebrity
StevenHarowitz,1034,6166,Celebrity
OlinBSBA,417,613,Expert
studlifecadenza,66,372,Layman
WUCS40,185,77,Expert
amelungc,163,254,Expert
ACEducation,34265,12526,Celebrity
chronicle,261210,39874,Celebrity
Adrienne_WU,3222,1728,Celebrity
WUSTLPoliSci,373,143,Expert
bcporsche,44,3,Layman
BarnesJewish,9465,4452,Celebrity
snakeringstory,1795,2215,Celebrity
flystl,17286,13393,Celebrity
stlBlackRep,2448,1804,Celebrity
tarapham,3017,7117,Celebrity
wustl_bec,332,418,Expert
AccelerateSTL,7791,4483,Celebrity
StartupVoodoo,1525,1103,Celebrity
LiamOtten,235,446,Expert
