Screen Name,Follower Count,Total Tweets,Type
aliyakh86391775,21,2875,Layman
EssaysNext,2,1,Layman
maddik93,874,14546,Expert
ZHIYE9,0,0,Layman
vedder1106,259,26,Expert
LuisPAPU19,69,4812,Layman
jtf__86,23,11,Layman
JaneSun21333424,0,0,Layman
kvvnland,73,1,Layman
sasevans23,4,0,Layman
migiall,0,0,Layman
allie__fitz,88,24,Layman
estebanvarelamd,889,1464,Expert
vrice_kcmo,121,1354,Expert
Tieasha14,30,2,Layman
jlchosy,1,0,Layman
MichelleDivine5,6,0,Layman
shbricker,68,367,Layman
aaperrone,8,16,Layman
Ahmadfa78728117,1,79,Layman
TK00873890,4,6,Layman
markamimura,585,2268,Expert
kelseynic07,186,2324,Expert
beingtitan,154,995,Expert
BrianFishmanDO,1984,9013,Celebrity
marcio_chem,144,36,Expert
SurvivalMchine,104,341,Expert
AlecBeeve,5,4,Layman
Y98Lance,7154,45731,Celebrity
KThaemert,244,860,Expert
JohnPaulJanik1,39,60,Layman
peaksportspine,144,86,Expert
richard42877112,1,16,Layman
joan_herlihy,2,8,Layman
Chris_Lisgaras,561,306,Expert
Transit788,83,158,Layman
murray7100,50,155,Layman
rmishra_Stl,1,4,Layman
josue_ma_,245,3501,Expert
OlumideA100,6,104,Layman
Batidie6,115,1391,Expert
Solomon96844838,0,0,Layman
internetplans,154,499,Expert
GreyBryanDesign,76,517,Layman
ray_chazelle,24,94,Layman
JasminSponagel,38,27,Layman
stephrstephr,235,411,Expert
QualityPolitics,3,2,Layman
D_E_E_P_A_K___,15,1,Layman
QuinnYoung4,8,1,Layman
stlpeacecorps,196,196,Expert
klobell,138,3232,Expert
flavaroyale,80,163,Layman
SofiaMFred,46,2,Layman
RenalRhapsody,152,13,Expert
STL48778216,0,0,Layman
Pheiura,377,789,Expert
mireiapellicer5,32,0,Layman
abcbanden,69,377,Layman
sedengineer,511,12301,Expert
Joshua88187186,0,0,Layman
500wsSTL,403,890,Expert
MWSTS1,43,50,Layman
KariHoggard,4,4,Layman
j_steirn,7,16,Layman
EthelBS,126,113,Expert
feebeeleee,48,121,Layman
HMSPallCare,4726,1819,Celebrity
BrickingMaliah,2,2,Layman
Adedipe1992,11,104,Layman
boddah321,141,5,Expert
havengabielle,0,0,Layman
Ayanman180,10,4,Layman
Olumide1992,13,103,Layman
SudiBjornstad,39,50,Layman
BudgePhilip,26,3,Layman
NoahRandall90,16,46,Layman
THARUNR39573417,8,0,Layman
jamesistrawick,11,10,Layman
luke_markinson,69,1114,Layman
JTNoetzel,167,105,Expert
DrMarcal,40,16,Layman
vanjohnsonn,12,29,Layman
jjy624,1,4,Layman
wiedermc,45,4,Layman
coker_kristin,28,86,Layman
YaowuWang,3,9,Layman
sarahlizzwilson,26,22,Layman
CarlKirts,133,114,Expert
jermeshaj,28,1354,Layman
meister_bird,597,5159,Expert
T27932,32,89,Layman
kyiv_vladimir,42,8,Layman
Mr_BuenosDiaz,192,54,Expert
stlatheists,10569,8226,Celebrity
Courtne14364347,8,6,Layman
smplds,0,0,Layman
rogerpilc,897,281,Expert
HollySi72172496,1,1,Layman
anettles330,3,0,Layman
Zeng_Jiahe,0,0,Layman
upchange,8,127,Layman
stlbbqsociety,432,773,Expert
ThomureOlivia,1,2,Layman
spotterksdk,610,129,Expert
BrestoffLab,3,0,Layman
MBAchicblog,557,3738,Expert
gayathri25788,23,4,Layman
martingandur,358,3107,Expert
YoungFriendsSTL,17,175,Layman
t_khattab,265,687,Expert
cee_maggie,10,120,Layman
mindyhorwitz,15,4,Layman
LadyTigerCougar,193,13,Expert
aaronmatthew762,182,3,Expert
birajmk,46,11,Layman
PoeskieA,140,658,Expert
BrooksKricket,0,0,Layman
alixsharkey,1989,17828,Celebrity
jackievc09,5,2,Layman
Holar_Yhemmie,548,4766,Expert
ANNJONE13251305,5,370,Layman
avery_patsfan,167,22136,Expert
mkrhawes,7,4,Layman
chameleon1105,0,1,Layman
CounselorLadyMJ,11,24,Layman
JacekGorka,27,119,Layman
CollegeVizzy,105,62,Expert
JoeEspinal3,4,0,Layman
RegularOctagon,36,37,Layman
syd4631,146,6309,Expert
calebridgwater,307,4514,Expert
s_ayeshaali,18,117,Layman
Professor_Tong,1323,2669,Celebrity
ER69277202,0,0,Layman
ABABPAK1,113,265,Expert
fallatahsafaa,133,352,Expert
najati01,156,1037,Expert
chouwaiking,12,12,Layman
ellad_bball,171,181,Expert
royast24,756,4706,Expert
mikemul02043016,0,0,Layman
rylanxo,563,20468,Expert
govindswaroopd,201,1871,Expert
Lisa_A_P,92,656,Layman
EllieHayesMO,87,138,Layman
neuroccino,1266,2741,Celebrity
AlyG3,603,3227,Expert
XuehuaiH,1,3,Layman
JSantel89,188,1233,Expert
simonbchen,1706,4452,Celebrity
Leahcouteranis,14,4,Layman
SoftballSpiders,87,1079,Layman
TextilesPak,8,12,Layman
SolisVerus,5,49,Layman
NacciaAvgTchr,10,4,Layman
crazymadden2121,25,58,Layman
D2Murphy16,21,1,Layman
thutch255,95,506,Layman
EmilyMTulloch,19,6,Layman
graetztj,7,0,Layman
vilapalet,144,749,Expert
aj_wright19,41,13,Layman
CanHayes99,77,325,Layman
Rui94661262,0,0,Layman
BiotechHealthMC,10,25,Layman
haydenhorn21,58,13,Layman
ChristianTRoge1,2,2,Layman
ClaireGarpestad,21,4,Layman
WustlT,2,2,Layman
AliciaDanielsU,707,1061,Expert
rajneesh_anand5,11,60,Layman
UniversityWsge,11,36,Layman
RibhiHamdouna,80,3198,Layman
KBuesteton,114,148,Expert
zhorve,114,130,Expert
gmatteoli1978,723,647,Expert
IanWrobel,125,498,Expert
coolschooltoday,688,7173,Expert
sassyscientist2,3,0,Layman
DominiqueRichi4,348,479,Expert
lgregory042,3,60,Layman
RichardStivensm,66,390,Layman
TLSM_1115,10,7,Layman
De_Mi_Mitchell,72,32,Layman
Faisal_Wichita,355,145,Expert
CofactorGenomic,768,529,Expert
Ting2li,202,44,Expert
GhoshSoumyendu,2,4,Layman
kgillmann,30,433,Layman
VoiceHeroAI,151,65,Expert
thenamesakshat,11,2,Layman
mediationmatter,132,144,Expert
lexihobelman,43,111,Layman
sairamg21997604,3,0,Layman
ofsadvocacy,22,27,Layman
claire_stiles,57,692,Layman
Mahwish_Syed90,13,1,Layman
su_senate,2,0,Layman
Jun65314903,0,0,Layman
JamesGarzaSACS,22,25,Layman
Jacky35844855,9,5,Layman
WhatsMy70499077,8,12,Layman
Stlhrrr,318,6184,Expert
NASPOG1,62,23,Layman
BlackMenInSW,303,247,Expert
EmilyWoodbury,958,2261,Expert
CarlosLaraGonz4,12,41,Layman
Daniel_R_Towers,0,0,Layman
E65P6BBJS5EWrA5,2,3,Layman
SPARTANPM25,18,15,Layman
Kevin_R_Rose,28,3,Layman
lizingleson,269,221,Expert
meigie_beuty,6,4,Layman
athiravasu,0,0,Layman
cjmagruder1,288,3426,Expert
owenscott2002,11,22,Layman
mgandari6,61,88,Layman
Siegel_60,157,54,Expert
JillYoungMiller,16,31,Layman
NoelShabu,0,0,Layman
misskatielane,179,950,Expert
brettadler,990,6194,Expert
ufoundmerrie,8,64,Layman
danielledpt_,33,16,Layman
shubhi1023,61,1845,Layman
zainClapacs,1,3,Layman
KMEarl,61,216,Layman
scianuei,3,0,Layman
SciMilo,435,380,Expert
MarilynBushBofA,71,14,Layman
bbrd3rd,3,0,Layman
carywoo,349,282,Expert
kyawzinthein86,94,13,Layman
StrathmanTricia,25,1,Layman
JoelKaul6,0,0,Layman
TrialAssure,205,578,Expert
Lucca55815364,0,0,Layman
terryliverar,132,361,Expert
Ivan24590917,1,6,Layman
llvn88,12,0,Layman
ezratemko,224,415,Expert
JoshSlavin,211,46,Expert
carrielburk,42,25,Layman
Karl37bunge,16,20,Layman
TinaPuckett18,6,32,Layman
RiyaBhuta,103,101,Expert
AnthonyHouseJr8,0,169,Layman
adam_cohan,5,0,Layman
MsDevencenzi,809,2312,Expert
RJLAyalaWilt,6152,188804,Celebrity
_Demerits,186,1374,Expert
MiaLynnHoward,531,970,Expert
nick_heff_20,312,702,Expert
PeteGDunne,459,3492,Expert
GTravisTabor,15,3,Layman
ZitongMD,24,52,Layman
kylekapaun_,133,588,Expert
michdschu,5,0,Layman
Rebeccaaiesec,0,0,Layman
shabanaharun15,0,12,Layman
martinMukongs,35,41,Layman
Lo_Mismo_,51,293,Layman
DragonflyBlue24,629,9232,Expert
jjsmots,65,30,Layman
gegan_miltmier,10,8,Layman
JoClevenger,261,1943,Expert
ntnch1776,14,7,Layman
KieriganM,223,466,Expert
ChrisColacchia,10,0,Layman
diatribecollege,0,5,Layman
DianeJacobs534,20,65,Layman
juanidinaro1,150,3187,Expert
ttkummer,62,9,Layman
LaurenSalliotte,6,16,Layman
Yogrange,6,4,Layman
deltaneighbour,96,398,Layman
EnjaMeda,184,721,Expert
Flora_1David,32,1,Layman
Chang56423011,4,1,Layman
amyjomurray,22,58,Layman
geetarair,37,26,Layman
HLong85519959,0,0,Layman
AnkitSh26230788,29,3792,Layman
IiserMohali,1082,83,Celebrity
JesusIsMyTSwift,1,10,Layman
jamyersecology,219,95,Expert
missmoo21768384,0,0,Layman
vsv512,1264,218,Celebrity
MatthewCrutch12,4,3,Layman
AllanLiao9063,61,468,Layman
sandragaveta,334,4574,Expert
wnowatzke,42,456,Layman
SaraTes18,9,18,Layman
Janet42816190,6,6,Layman
JosephFaithSam2,14,104,Layman
grace86423815,27,16,Layman
JFitzpatrickWU,108,45,Expert
SafeConnections,892,2680,Expert
oleksad,107,725,Expert
gr8society,225,3399,Expert
redmizzou,69,292,Layman
OwenCounts5,1,0,Layman
VinayV821,1,0,Layman
karen4quet,9,58,Layman
francis_huertap,17,119,Layman
BobbyJFK,1,1,Layman
Jaffyas,0,3,Layman
sircharleshill,11,47,Layman
Krolllab,96,5,Layman
BilliterRoss,0,0,Layman
karenkrukowski,63,125,Layman
mlov,1361,6812,Celebrity
Cassie_Boness,588,1960,Expert
AnnaJia2,0,0,Layman
