Screen Name,Follower Count,Total Tweets,Type
BillForsythe4,21,53,Layman
mboro_man,24,187,Layman
BruceCMiller,42,241,Layman
NeuroPerformace,78,7,Layman
hjmartin33,15,29,Layman
26kisaragi21,0,0,Layman
lisadlz123,275,353,Expert
jeszep25,414,7038,Expert
susan_rosenblum,1,0,Layman
Prsch,1,26,Layman
Angela_Hutson,25,123,Layman
Ericjudyjohnson,192,453,Expert
invecchiato,15,129,Layman
irishmollyb,48,31,Layman
JacobKotzubei,8,0,Layman
jimmystlou,15,11,Layman
JenKPeterson,4,5,Layman
aquova_,117,2592,Expert
elr921,4,0,Layman
PNeinstein,17,3,Layman
ValeriePOBrien,86,151,Layman
JustinShafner,26,28,Layman
andifuentes,49,24,Layman
rjcanning11,11,31,Layman
edborbely,52,54,Layman
MohsCounseling,156,292,Expert
FmrCloud,13,39,Layman
Hiwilks,17,134,Layman
dddjbc,59,595,Layman
STOMPOutBullyng,97914,12713,Celebrity
rileymartell,307,2024,Expert
StudioDiSalvo,32,469,Layman
GetzoffK,30,699,Layman
PanCAN_NWArk,217,553,Expert
khefling,9414,4344,Celebrity
LibertyNFaith,35,2596,Layman
LiveNXNW,458,404,Expert
1403Fisal,283,3169,Expert
maggiebrownies,137,616,Expert
grahamthedog,11,16,Layman
karabradjr,7,6,Layman
TomLydon,9506,57292,Celebrity
HaronNyambariga,42,43,Layman
zacharycpersing,251,13726,Expert
DrKelseyKlute,426,307,Expert
TalKathy,183,45285,Expert
Martin_Brablec,203,333,Expert
mhalltitlework,0,43362,Layman
eka__d,238,3916,Expert
PsychSaxena,46,86,Layman
trking0301_king,2,3,Layman
segnoto,61,483,Layman
AudraKs,27,87,Layman
Bstud,47,136,Layman
lindakrelitz,28,42,Layman
endowmentwm,812,6043,Expert
gracefellman,364,3009,Expert
ilanashefa,23,24,Layman
DeniseDiCarlo,65,21,Layman
ricksallinger,3195,2441,Celebrity
pamwhoffman,32,85,Layman
Adrianna_2499,283,2466,Expert
onepurpose948,5,5,Layman
iRashed89,167,7952,Expert
mkahky,32,723,Layman
mpcooper,67,236,Layman
shin_meteora,24,533,Layman
HillaryHaikus,1608,321,Celebrity
SpanishLake_CDC,47,23,Layman
RESachs,3486,3045,Celebrity
HomeGrown_STL,250,619,Expert
williamjewell,3268,2893,Celebrity
Jake_Griffin29,295,2238,Expert
BJPSCollege,520,2666,Expert
meganlafferty11,390,4683,Expert
twjrseaman,13,23,Layman
ChloeHWChen,0,0,Layman
GottaBeWeezy,72,65,Layman
SierraThompson6,249,380,Expert
CodyTurtleson,215,2147,Expert
Uber_Missouri,1394,440,Celebrity
ShaneKinne,1631,5189,Celebrity
Bliss_o_Birds,348,263,Expert
AdithJB,2,5,Layman
ClinResPathways,365,619,Expert
SHS_Adviser,198,1239,Expert
coryschmitt,487,6463,Expert
